COUNTRY_CURR_ID	COUNTRY_ID	CURRENCY_ID	REMOVED	UPDATED_ON	UPDATED_BY
211	214	146	F	2015/10/09 10:09:33.000000000	F_EMMPER
212	215	28	F	2015/10/09 10:09:33.000000000	F_EMMPER
213	216	155	F	2015/10/09 10:09:33.000000000	F_EMMPER
214	217	164	F	2015/10/09 10:09:33.000000000	F_EMMPER
215	218	158	F	2015/10/09 10:09:33.000000000	F_EMMPER
216	219	165	F	2015/10/09 10:09:33.000000000	F_EMMPER
217	220	157	F	2015/10/09 10:09:33.000000000	F_EMMPER
218	222	177	F	2015/10/09 10:09:33.000000000	F_EMMPER
219	224	161	F	2015/10/09 10:09:33.000000000	F_EMMPER
220	225	163	F	2015/10/09 10:09:33.000000000	F_EMMPER
221	226	160	F	2015/10/09 10:09:33.000000000	F_EMMPER
222	227	162	F	2015/10/09 10:09:34.000000000	F_EMMPER
223	228	159	F	2015/10/09 10:09:34.000000000	F_EMMPER
224	229	168	F	2015/10/09 10:09:34.000000000	F_EMMPER
225	230	8	F	2015/10/09 10:09:34.000000000	F_EMMPER
226	230	125	F	2015/10/09 10:09:34.000000000	F_EMMPER
227	231	167	F	2015/10/09 10:09:34.000000000	F_EMMPER
228	232	166	F	2015/10/09 10:09:34.000000000	F_EMMPER
229	233	1	F	2015/10/09 10:09:34.000000000	F_EMMPER
230	234	47	F	2015/10/09 10:09:34.000000000	F_EMMPER
231	235	168	F	2015/10/09 10:09:34.000000000	F_EMMPER
232	237	169	F	2015/10/09 10:09:34.000000000	F_EMMPER
233	238	170	F	2015/10/09 10:09:34.000000000	F_EMMPER
234	239	173	F	2015/10/09 10:09:34.000000000	F_EMMPER
235	240	171	F	2015/10/09 10:09:34.000000000	F_EMMPER
236	241	172	F	2015/10/09 10:09:34.000000000	F_EMMPER
237	243	178	F	2015/10/09 10:09:34.000000000	F_EMMPER
238	245	179	F	2015/10/09 10:09:34.000000000	F_EMMPER
239	246	181	F	2015/10/09 10:09:34.000000000	F_EMMPER
240	247	23	F	2015/10/09 10:09:34.000000000	F_EMMPER
241	247	47	F	2015/10/09 10:09:34.000000000	F_EMMPER
242	247	44	F	2015/10/09 10:09:34.000000000	F_EMMPER
243	247	180	F	2015/10/09 10:09:34.000000000	F_EMMPER
244	247	168	F	2015/10/09 10:09:34.000000000	F_EMMPER
245	247	182	F	2015/10/09 10:09:34.000000000	F_EMMPER
246	34	18	F	2015/10/09 10:09:34.000000000	F_EMMPER
247	34	147	F	2015/10/09 10:09:34.000000000	F_EMMPER
248	99	44	F	2015/10/09 10:09:34.000000000	F_EMMPER
249	2	44	F	2015/10/09 10:09:34.000000000	F_EMMPER
250	5	168	F	2015/10/09 10:09:35.000000000	F_EMMPER
251	9	183	F	2015/10/09 10:09:35.000000000	F_EMMPER
252	17	21	F	2015/10/09 10:09:35.000000000	F_EMMPER
253	30	106	F	2015/10/09 10:09:35.000000000	F_EMMPER
254	49	8	F	2015/10/09 10:09:35.000000000	F_EMMPER
255	78	44	F	2015/10/09 10:09:35.000000000	F_EMMPER
256	80	44	F	2015/10/09 10:09:35.000000000	F_EMMPER
257	88	38	F	2015/10/09 10:09:35.000000000	F_EMMPER
258	90	44	F	2015/10/09 10:09:35.000000000	F_EMMPER
259	91	168	F	2015/10/09 10:09:35.000000000	F_EMMPER
260	98	8	F	2015/10/09 10:09:35.000000000	F_EMMPER
261	139	44	F	2015/10/09 10:09:35.000000000	F_EMMPER
262	142	44	F	2015/10/09 10:09:35.000000000	F_EMMPER
263	152	93	F	2015/10/09 10:09:35.000000000	F_EMMPER
264	157	5	F	2015/10/09 10:09:35.000000000	F_EMMPER
265	236	168	F	2015/10/09 10:09:35.000000000	F_EMMPER
266	242	168	F	2015/10/09 10:09:35.000000000	F_EMMPER
267	244	89	F	2015/10/09 10:09:35.000000000	F_EMMPER
268	244	40	F	2015/10/09 10:09:35.000000000	F_EMMPER
269	244	96	F	2015/10/09 10:09:35.000000000	F_EMMPER
270	164	8	F	2015/10/09 10:09:35.000000000	F_EMMPER
271	165	168	F	2015/10/09 10:09:35.000000000	F_EMMPER
272	179	168	F	2015/10/09 10:09:35.000000000	F_EMMPER
273	181	44	F	2015/10/09 10:09:35.000000000	F_EMMPER
274	185	44	F	2015/10/09 10:09:35.000000000	F_EMMPER
275	190	44	F	2015/10/09 10:09:35.000000000	F_EMMPER
276	212	106	F	2015/10/09 10:09:35.000000000	F_EMMPER
277	221	168	F	2015/10/09 10:09:36.000000000	F_EMMPER
278	223	127	F	2015/10/09 10:09:36.000000000	F_EMMPER
1	1	2	F	2015/10/09 10:09:26.000000000	F_EMMPER
2	3	3	F	2015/10/09 10:09:26.000000000	F_EMMPER
3	4	40	F	2015/10/09 10:09:26.000000000	F_EMMPER
4	6	44	F	2015/10/09 10:09:26.000000000	F_EMMPER
5	7	6	F	2015/10/09 10:09:26.000000000	F_EMMPER
6	8	176	F	2015/10/09 10:09:26.000000000	F_EMMPER
7	10	176	F	2015/10/09 10:09:26.000000000	F_EMMPER
8	11	7	F	2015/10/09 10:09:26.000000000	F_EMMPER
9	12	4	F	2015/10/09 10:09:26.000000000	F_EMMPER
10	13	9	F	2015/10/09 10:09:26.000000000	F_EMMPER
11	14	8	F	2015/10/09 10:09:26.000000000	F_EMMPER
12	15	44	F	2015/10/09 10:09:26.000000000	F_EMMPER
13	16	10	F	2015/10/09 10:09:26.000000000	F_EMMPER
14	18	15	F	2015/10/09 10:09:26.000000000	F_EMMPER
15	19	13	F	2015/10/09 10:09:26.000000000	F_EMMPER
16	20	12	F	2015/10/09 10:09:26.000000000	F_EMMPER
17	21	24	F	2015/10/09 10:09:26.000000000	F_EMMPER
18	22	44	F	2015/10/09 10:09:26.000000000	F_EMMPER
19	23	25	F	2015/10/09 10:09:26.000000000	F_EMMPER
20	24	177	F	2015/10/09 10:09:26.000000000	F_EMMPER
21	25	17	F	2015/10/09 10:09:26.000000000	F_EMMPER
