SOURCE_INSTANCE	SOURCE_INSTANCE_DESC	UPDATED_ON	UPDATED_BY
EU_LW_V5	Europe V5	2015/10/09 10:09:04.000000000	F_EMMPER
NA_LW_V5	North America V5	2015/10/09 10:09:04.000000000	F_EMMPER
LIMS_ITALY	Italy	2015/10/09 10:09:04.000000000	F_EMMPER
LIMS_SPAIN	Spain	2015/10/09 10:09:04.000000000	F_EMMPER
AU_LW_V5	Australia	2015/10/09 10:09:04.000000000	F_EMMPER
GBL_LW_V6	Global V6	2015/10/09 10:09:04.000000000	F_EMMPER
LIMS_BR	Brasil	2015/10/09 10:09:04.000000000	F_EMMPER
LIMS_CN	China	2015/10/09 10:09:04.000000000	F_EMMPER
LIMS_IN	India	2015/10/09 10:09:04.000000000	F_EMMPER
LIMS_IT_2	Italy - Resana	2015/10/09 10:09:04.000000000	F_EMMPER
LIMS_MX	Mexico	2015/10/09 10:09:04.000000000	F_EMMPER
LIMS_PT	Portugal	2015/10/09 10:09:04.000000000	F_EMMPER
LIMS_TR	Turkey	2015/10/09 10:09:04.000000000	F_EMMPER
ZA_LW_V6	South Africa V6	2015/10/09 10:09:04.000000000	F_EMMPER
