GDW_CUSTOMER_ID	GDW_CUSTOMER_DESC	GDW_CLIENT_MARKET_ID	UPDATED_ON	UPDATED_BY
607	WOSTIN	10001743	2015/11/11 01:34:09.000000000	F_EMMPER
304	Westfield Group	10001744	2015/11/11 01:34:45.000000000	F_EMMPER
22457183	BKQ SERVICES	10001741	2017/05/16 09:46:41.000000000	F_EMMPER
2	100% Bottling Company Pty Ltd	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
3	A View to Food	10001743	2015/11/11 01:33:54.000000000	F_EMMPER
4	ADM	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
5	Advanced Ananalytical	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
6	Advanced Fresh Concepts	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
7	Aero-Care Operations	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
8	ALDI	10001741	2015/11/11 01:33:54.000000000	F_EMMPER
9	Allaince Catering	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
10	Allied Mills	10001743	2015/11/11 01:33:54.000000000	F_EMMPER
11	Alpha Flight Services	10001743	2015/11/11 01:33:54.000000000	F_EMMPER
12	Alphapharm	10001743	2015/11/11 01:33:54.000000000	F_EMMPER
13	ALS	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
14	Alsco	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
15	Anchor Foods Pty Ltd	10001743	2015/11/11 01:33:54.000000000	F_EMMPER
16	APC Logistics	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
17	APS Food & Nutrition	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
18	AQS International	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
19	Aquatic Leisure Management	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
20	Arnott's Biscuits	10001743	2015/11/11 01:33:54.000000000	F_EMMPER
21	ARYZTA	10001743	2015/11/11 01:33:54.000000000	F_EMMPER
22	Aspen Pharmacare Australia Pty Ltd	10001743	2015/11/11 01:33:54.000000000	F_EMMPER
23	Assurequality	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
24	Australian Competition & Consumer Commission	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
25	Australian Liquor Marketers	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
26	Australian Red Cross Blood Service	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
27	Australian Wool Testing Authority Ltd	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
28	Auxico Corporation Pty Ltd	10001743	2015/11/11 01:33:54.000000000	F_EMMPER
29	Azura Fresh	10001743	2015/11/11 01:33:54.000000000	F_EMMPER
30	Baiada Poultry	10001743	2015/11/11 01:33:54.000000000	F_EMMPER
31	Barrick	10001744	2015/11/11 01:33:54.000000000	F_EMMPER
32	Bayer Australia Ltd	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
33	BE Campbell	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
34	Beak & Johnson Pty Ltd	10001743	2015/11/11 01:33:55.000000000	F_EMMPER
35	Bega Cheese Ltd	10001743	2015/11/11 01:33:55.000000000	F_EMMPER
36	Bellis Fruit Bars	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
37	Berri Limited	10001743	2015/11/11 01:33:55.000000000	F_EMMPER
38	Berry Exchange	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
39	BHP Billiton	10001743	2015/11/11 01:33:55.000000000	F_EMMPER
40	Biotech Laboratories Pty Ltd	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
41	BIS Industrial Logistics	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
42	BKK	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
43	BMDI	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
44	Botanical Food Company	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
45	Boundary Bend Olives	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
46	Brancourts	10001743	2015/11/11 01:33:55.000000000	F_EMMPER
47	Bravington Vine Ltd	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
48	British Provender Pty Ltd	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
49	Bulla Dairy Products	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
50	Campbell Arnott's	10001743	2015/11/11 01:33:55.000000000	F_EMMPER
51	Capilano Honey Ltd	10001743	2015/11/11 01:33:55.000000000	F_EMMPER
52	Cardinal Health Australia	10001743	2015/11/11 01:33:55.000000000	F_EMMPER
53	Care Packaging Pty Ltd	10001743	2015/11/11 01:33:55.000000000	F_EMMPER
54	Cargill	10001743	2015/11/11 01:33:55.000000000	F_EMMPER
55	Carnival Cruises	10001743	2015/11/11 01:33:55.000000000	F_EMMPER
56	Catalent	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
57	Caterx	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
58	Cathrex	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
59	Cerebos	10001744	2015/11/11 01:33:55.000000000	F_EMMPER
60	Cheetham Salt	10001744	2015/11/11 01:33:56.000000000	F_EMMPER
61	Chemiplas Australia	10001744	2015/11/11 01:33:56.000000000	F_EMMPER
62	Chep Australia	10001743	2015/11/11 01:33:56.000000000	F_EMMPER
63	Clean Room Garments	10001744	2015/11/11 01:33:56.000000000	F_EMMPER
64	Cleavers	10001744	2015/11/11 01:33:56.000000000	F_EMMPER
65	Clover Group	10001744	2015/11/11 01:33:56.000000000	F_EMMPER
66	Coca Cola Amatil	10001741	2015/11/11 01:33:56.000000000	F_EMMPER
67	Cochlear Limited	10001744	2015/11/11 01:33:56.000000000	F_EMMPER
68	Coffey Enviornments	10001744	2015/11/11 01:33:56.000000000	F_EMMPER
69	Coles	10001743	2015/11/11 01:33:56.000000000	F_EMMPER
70	Compass Group	10001743	2015/11/11 01:33:56.000000000	F_EMMPER
