SOURCE_INSTANCE	SOURCE_LAB_TYPE_CODE	GDW_LAB_TYPE_ID	UPDATED_ON	UPDATED_BY
EU_LW_V5	CHEM	2	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	MICRO	1	2015/10/09 10:03:19.000000000	F_EMMPER
EU_LW_V5	NONE	1	2015/10/09 10:03:19.000000000	F_EMMPER
NA_LW_V5	CHEM	2	2015/10/09 10:03:19.000000000	F_EMMPER
NA_LW_V5	MICRO	1	2015/10/09 10:03:19.000000000	F_EMMPER
LIMS_ITALY	M-BG	1	2015/10/09 10:03:19.000000000	F_EMMPER
LIMS_SPAIN	MICRO	1	2015/10/09 10:03:20.000000000	F_EMMPER
LIMS_ITALY	M	1	2015/10/09 10:03:20.000000000	F_EMMPER
AU_LW_V5	CHEM	2	2015/10/09 10:03:20.000000000	F_EMMPER
AU_LW_V5	MICRO	1	2015/10/09 10:03:20.000000000	F_EMMPER
