SOURCE_INSTANCE	SOURCE_KEY1	SOURCE_KEY2	SOURCE_KEY3	LACTA_CATEGORY_CODE	UPDATED_ON	UPDATED_BY
NA_LW_V5	SORR-QA-6	SOR-12	SWABC	E	2015/10/09 10:03:08.000000000	F_EMMPER
NA_LW_V5	SORR-QA-6	SOR-12	SWABCMICRO	E	2015/10/09 10:03:08.000000000	F_EMMPER
NA_LW_V5	SORR-QA-6	SORR-7	SORR-10	E	2015/10/09 10:03:08.000000000	F_EMMPER
NA_LW_V5	SORR-QA-6	SORR-7	SORR-11	E	2015/10/09 10:03:08.000000000	F_EMMPER
NA_LW_V5	SORR-QA-6	SORR-7	SORR-2	E	2015/10/09 10:03:08.000000000	F_EMMPER
NA_LW_V5	SORR-QA-6	SORR-7	SORR-3	E	2015/10/09 10:03:08.000000000	F_EMMPER
NA_LW_V5	SORR-QA-6	SORR-7	SORR-5	E	2015/10/09 10:03:08.000000000	F_EMMPER
NA_LW_V5	SORR-QA-6	SORR-7	SORR-6	E	2015/10/09 10:03:08.000000000	F_EMMPER
NA_LW_V5	SORR-QA-6	SORR-7	SORR-7	I	2015/10/09 10:03:08.000000000	F_EMMPER
NA_LW_V5	SORR-QA-6	SORR-7	SORR-9	E	2015/10/09 10:03:08.000000000	F_EMMPER
NA_LW_V5	SORR-QA-6	SORR-7	SWABB	E	2015/10/09 10:03:08.000000000	F_EMMPER
NA_LW_V5	SORR-QA-6	SORR-7	SWABC	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-6	SORR-7	SWABCMICRO	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-11	SORR-1	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-11	SORR-10	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-11	SORR-11	M	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-11	SORR-12	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-11	SORR-13	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-11	SORR-14	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-11	SORR-15	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-11	SORR-2	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-11	SORR-3	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-11	SORR-4	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-11	SORR-5	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-11	SORR-9	E	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-1	P	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-10	P	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-11	I	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-12	P	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-13	P	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-14	M	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-15	I	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-16	I	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-2	P	2015/10/09 10:03:09.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-20	I	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-21	E	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-22	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-26	E	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-27	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-28	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-29	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-3	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-30	I	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-31	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-32	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-33	M	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-34	M	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-35	I	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-36	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-37	I	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-38	I	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-39	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-40	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-41	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-5	E	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-6	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-7	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-7	SORR-6	SORR-9	P	2015/10/09 10:03:10.000000000	F_EMMPER
NA_LW_V5	SORR-QA-9	SORR-6	SORR-1	P	2015/10/09 10:03:11.000000000	F_EMMPER
NA_LW_V5	SORR-QA-9	SORR-6	SORR-10	P	2015/10/09 10:03:11.000000000	F_EMMPER
NA_LW_V5	SORR-QA-9	SORR-6	SORR-11	I	2015/10/09 10:03:11.000000000	F_EMMPER
NA_LW_V5	SORR-QA-9	SORR-6	SORR-12	P	2015/10/09 10:03:11.000000000	F_EMMPER
NA_LW_V5	SORR-QA-9	SORR-6	SORR-13	P	2015/10/09 10:03:11.000000000	F_EMMPER
NA_LW_V5	SORR-QA-9	SORR-6	SORR-14	M	2015/10/09 10:03:11.000000000	F_EMMPER
NA_LW_V5	SORR-QA-9	SORR-6	SORR-15	I	2015/10/09 10:03:11.000000000	F_EMMPER
NA_LW_V5	SORR-QA-9	SORR-6	SORR-16	I	2015/10/09 10:03:11.000000000	F_EMMPER
