SOURCE_INSTANCE	SOURCE_LANGUAGE_CODE	GDW_LANGUAGE_ID	UPDATED_ON	UPDATED_BY
EU_LW_V5	E_	1	2015/10/09 10:03:16.000000000	F_EMMPER
EU_LW_V5	F_	2	2015/10/09 10:03:16.000000000	F_EMMPER
EU_LW_V5	D_	3	2015/10/09 10:03:16.000000000	F_EMMPER
EU_LW_V5	G_	4	2015/10/09 10:03:16.000000000	F_EMMPER
EU_LW_V5	S_	5	2015/10/09 10:03:16.000000000	F_EMMPER
EU_LW_V5	I_	6	2015/10/09 10:03:16.000000000	F_EMMPER
EU_LW_V5	P_	7	2015/10/09 10:03:16.000000000	F_EMMPER
EU_ESTAR	1	1	2015/10/09 10:03:16.000000000	F_EMMPER
EU_ESTAR	14	2	2015/10/09 10:03:16.000000000	F_EMMPER
EU_ESTAR	12	3	2015/10/09 10:03:16.000000000	F_EMMPER
EU_ESTAR	24	4	2015/10/09 10:03:16.000000000	F_EMMPER
EU_ESTAR	9	5	2015/10/09 10:03:16.000000000	F_EMMPER
EU_ESTAR	10	6	2015/10/09 10:03:16.000000000	F_EMMPER
EU_ESTAR	8	8	2015/10/09 10:03:16.000000000	F_EMMPER
NA_LW_V5	E_	1	2015/10/09 10:03:17.000000000	F_EMMPER
NA_LW_V5	F_	2	2015/10/09 10:03:17.000000000	F_EMMPER
NA_LW_V5	D_	3	2015/10/09 10:03:17.000000000	F_EMMPER
NA_LW_V5	G_	4	2015/10/09 10:03:17.000000000	F_EMMPER
NA_LW_V5	S_	5	2015/10/09 10:03:17.000000000	F_EMMPER
NA_LW_V5	I_	6	2015/10/09 10:03:17.000000000	F_EMMPER
NA_LW_V5	P_	7	2015/10/09 10:03:17.000000000	F_EMMPER
LIMS_SPAIN	SPANISH	5	2015/10/09 10:03:17.000000000	F_EMMPER
LIMS_ITALY	ITALIAN	6	2015/10/09 10:03:17.000000000	F_EMMPER
AU_LW_V5	E_	1	2015/10/09 10:03:17.000000000	F_EMMPER
AU_LW_V5	F_	2	2015/10/09 10:03:17.000000000	F_EMMPER
AU_LW_V5	D_	3	2015/10/09 10:03:17.000000000	F_EMMPER
AU_LW_V5	G_	4	2015/10/09 10:03:17.000000000	F_EMMPER
AU_LW_V5	S_	5	2015/10/09 10:03:17.000000000	F_EMMPER
AU_LW_V5	I_	6	2015/10/09 10:03:17.000000000	F_EMMPER
AU_LW_V5	P_	7	2015/10/09 10:03:17.000000000	F_EMMPER
