SOURCE_INSTANCE	SOURCE_CODE_TYPE	SOURCE_CODE	GDW_MXNS_ENTITY_ID	UPDATED_ON	UPDATED_BY
EU_LW_V5	GROUP	ADMIN_EU	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	ADMIN-FR	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	CHE-BENE	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	CHE_NL	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	CHI-FR	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	DEF-CLA-FR	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	DEF-SIL-FR	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	DEFAULT-FR	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	DEFAULT	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	HAZE-FR	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	MERV-FR	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	MIC-FR	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	REVIEW-FR	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	SC-FR	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	STN-MRV	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	BENELUX	2	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	EDE_NL	2	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	MIL_NL	2	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	VERWEY	3	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	GROUP	NIKLAAS	4	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	OWNER LOCATION	MERVILLE	1	2015/10/09 10:00:17.000000000	ASAMUEL
EU_LW_V5	OWNER LOCATION	HAZE-FR	1	2015/10/09 10:00:18.000000000	ASAMUEL
EU_LW_V5	OWNER LOCATION	FONT-FR	1	2015/10/09 10:00:18.000000000	ASAMUEL
EU_LW_V5	OWNER LOCATION	ROCH-FR	1	2015/10/09 10:00:18.000000000	ASAMUEL
EU_LW_V5	OWNER LOCATION	CGY1-FR	1	2015/10/09 10:00:18.000000000	ASAMUEL
EU_LW_V5	OWNER LOCATION	CGY2-FR	1	2015/10/09 10:00:18.000000000	ASAMUEL
EU_LW_V5	OWNER LOCATION	SOA-FR	1	2015/10/09 10:00:18.000000000	ASAMUEL
EU_LW_V5	OWNER LOCATION	SOASP-FR	1	2015/10/09 10:00:18.000000000	ASAMUEL
EU_LW_V5	OWNER LOCATION	EDE	2	2015/10/09 10:00:18.000000000	ASAMUEL
EU_LW_V5	OWNER LOCATION	NIKLAAS	3	2015/10/09 10:00:18.000000000	ASAMUEL
EU_LW_V5	OWNER LOCATION	BIOF-FR	5	2015/10/09 10:00:18.000000000	ASAMUEL
AU_LW_V5	GROUP	CSR	6	2015/10/09 10:00:18.000000000	ASAMUEL
AU_LW_V5	GROUP	PER	6	2015/10/09 10:00:18.000000000	ASAMUEL
AU_LW_V5	GROUP	CHEM	6	2015/10/09 10:00:18.000000000	ASAMUEL
AU_LW_V5	GROUP	MEL	6	2015/10/09 10:00:18.000000000	ASAMUEL
AU_LW_V5	GROUP	MICRO	6	2015/10/09 10:00:18.000000000	ASAMUEL
AU_LW_V5	GROUP	DEFAULT	6	2015/10/09 10:00:18.000000000	ASAMUEL
AU_LW_V5	GROUP	SYD	6	2015/10/09 10:00:18.000000000	ASAMUEL
AU_LW_V5	OWNER LOCATION	DEFAULT	6	2015/10/09 10:00:18.000000000	ASAMUEL
AU_LW_V5	GROUP	BRS	6	2016/02/09 17:44:37.000000000	ASAMUEL
AU_LW_V5	GROUP	SHA	6	2016/02/09 17:44:37.000000000	ASAMUEL
