SOURCE_INSTANCE	SERVICE_FAMILY_CODE	GDW_SERVICE_FAMILY_ID	UPDATED_ON	UPDATED_BY
EU_LW_V5	AB	1	2015/10/09 10:00:22.000000000	F_EMMPER
EU_LW_V5	AU	2	2015/10/09 10:00:22.000000000	F_EMMPER
EU_LW_V5	BM	3	2015/10/09 10:00:22.000000000	F_EMMPER
EU_LW_V5	BS	4	2015/10/09 10:00:22.000000000	F_EMMPER
EU_LW_V5	CH	5	2015/10/09 10:00:22.000000000	F_EMMPER
EU_LW_V5	CN	6	2015/10/09 10:00:22.000000000	F_EMMPER
EU_LW_V5	EA	7	2015/10/09 10:00:22.000000000	F_EMMPER
EU_LW_V5	EP	8	2015/10/09 10:00:22.000000000	F_EMMPER
EU_LW_V5	ER	9	2015/10/09 10:00:22.000000000	F_EMMPER
EU_LW_V5	FO	10	2015/10/09 10:00:22.000000000	F_EMMPER
EU_LW_V5	FS	11	2015/10/09 10:00:22.000000000	F_EMMPER
EU_LW_V5	HU	12	2015/10/09 10:00:22.000000000	F_EMMPER
EU_LW_V5	LE	13	2015/10/09 10:00:23.000000000	F_EMMPER
EU_LW_V5	LI	14	2015/10/09 10:00:23.000000000	F_EMMPER
EU_LW_V5	VI	15	2015/10/09 10:00:23.000000000	F_EMMPER
EU_LW_V5	FSH	16	2015/10/09 10:00:23.000000000	F_EMMPER
