TABLE_NAME	COLUMN_EXPRESSION	COLUMN_NAME	DATA_TYPE	FORMAT
DIM_ACCREDITATIONS	ACCREDITATION_ID	ACCREDITATION_ID	Integer	0
DIM_ACCREDITATIONS	ACCREDITATION_NAME	ACCREDITATION_NAME	String	
DIM_ACCREDITATIONS	ACCREDITATION_DESC	ACCREDITATION_DESC	String	
DIM_ACCREDITATIONS	ACCREDITATION_COMMENT	ACCREDITATION_COMMENT	String	
DIM_ACCREDITATIONS	REMOVED	REMOVED	String	
DIM_ACCREDITATIONS	UPDATED_ON	UPDATED_ON	Date	
DIM_ACCREDITATIONS	UPDATED_BY	UPDATED_BY	String	
DIM_CONCL_LEVELS	CONCL_LEVEL_ID	CONCL_LEVEL_ID	Integer	0
DIM_CONCL_LEVELS	LANGUAGE_ID	LANGUAGE_ID	Integer	0
DIM_CONCL_LEVELS	CONCL_LEVEL_DESC	CONCL_LEVEL_DESC	String	
DIM_CONCL_LEVELS	UPDATED_ON	UPDATED_ON	Date	
DIM_CONCL_LEVELS	UPDATED_BY	UPDATED_BY	String	
DIM_COUNTRIES	COUNTRY_ID	COUNTRY_ID	Integer	0
DIM_COUNTRIES	COUNTRY_NAME	COUNTRY_NAME	String	
DIM_COUNTRIES	COUNTRY_DESC	COUNTRY_DESC	String	
DIM_COUNTRIES	COUNTRY_CODE	COUNTRY_CODE	String	
DIM_COUNTRIES	ACCREDITATION_ID	ACCREDITATION_ID	Integer	0
DIM_COUNTRIES	IS_ACTIVE	IS_ACTIVE	String	
DIM_COUNTRIES	UPDATED_ON	UPDATED_ON	Date	
DIM_COUNTRIES	UPDATED_BY	UPDATED_BY	String	
DIM_COUNTRY_CURRENCIES	COUNTRY_CURR_ID	COUNTRY_CURR_ID	Integer	0
DIM_COUNTRY_CURRENCIES	COUNTRY_ID	COUNTRY_ID	Integer	0
DIM_COUNTRY_CURRENCIES	CURRENCY_ID	CURRENCY_ID	Integer	0
DIM_COUNTRY_CURRENCIES	REMOVED	REMOVED	String	
DIM_COUNTRY_CURRENCIES	UPDATED_ON	UPDATED_ON	Date	
DIM_COUNTRY_CURRENCIES	UPDATED_BY	UPDATED_BY	String	
DIM_CURRENCIES	CURRENCY_ID	CURRENCY_ID	Integer	0
DIM_CURRENCIES	CURRENCY_NAME	CURRENCY_NAME	String	
DIM_CURRENCIES	CURRENCY_DESC	CURRENCY_DESC	String	
DIM_CURRENCIES	CURRENCY_CODE	CURRENCY_CODE	String	
DIM_CURRENCIES	CURRENCY_SYMBOL	CURRENCY_SYMBOL	String	
DIM_CURRENCIES	CURRENCY_UNIT	CURRENCY_UNIT	String	
DIM_CURRENCIES	REMOVED	REMOVED	String	
DIM_CURRENCIES	UPDATED_ON	UPDATED_ON	Date	
DIM_CURRENCIES	UPDATED_BY	UPDATED_BY	String	
DIM_CUST_SERVICES	CS_ID	CS_ID	Integer	0
DIM_CUST_SERVICES	CS_NAME	CS_NAME	String	
DIM_CUST_SERVICES	CS_EMAIL	CS_EMAIL	String	
DIM_CUST_SERVICES	CS_PHONE_NUM	CS_PHONE_NUM	String	
DIM_CUST_SERVICES	CS_PHONE_COST	CS_PHONE_COST	String	
DIM_CUST_SERVICES	CS_FAX	CS_FAX	String	
DIM_CUST_SERVICES	CS_ADDRESS_LINE1	CS_ADDRESS_LINE1	String	
DIM_CUST_SERVICES	CS_STREET_NUM	CS_STREET_NUM	String	
DIM_CUST_SERVICES	CS_STREET_NAME	CS_STREET_NAME	String	
DIM_CUST_SERVICES	CS_ZIP_CODE	CS_ZIP_CODE	Integer	0
DIM_CUST_SERVICES	CS_CITY	CS_CITY	String	
DIM_CUST_SERVICES	CS_STATE	CS_STATE	String	
DIM_CUST_SERVICES	CS_COUNTRY_CODE	CS_COUNTRY_CODE	String	
DIM_CUST_SERVICES	UPDATED_ON	UPDATED_ON	Date	
DIM_CUST_SERVICES	UPDATED_BY	UPDATED_BY	String	
DIM_FILE_TYPES	FILE_TYPE_ID	FILE_TYPE_ID	Integer	0
DIM_FILE_TYPES	FILE_DESC	FILE_DESC	String	
DIM_FILE_TYPES	FILE_MIME	FILE_MIME	String	
DIM_FILE_TYPES	FILE_EXTENSION	FILE_EXTENSION	String	
DIM_FILE_TYPES	UPDATED_ON	UPDATED_ON	Date	
DIM_FILE_TYPES	UPDATED_BY	UPDATED_BY	String	
DIM_LAB_TYPES	LAB_TYPE_ID	LAB_TYPE_ID	Integer	0
DIM_LAB_TYPES	LANGUAGE_ID	LANGUAGE_ID	Integer	0
DIM_LAB_TYPES	LAB_TYPE_DESC	LAB_TYPE_DESC	String	
DIM_LAB_TYPES	REMOVED	REMOVED	String	
DIM_LAB_TYPES	UPDATED_ON	UPDATED_ON	Date	
DIM_LAB_TYPES	UPDATED_BY	UPDATED_BY	String	
DIM_LANGUAGES	LANGUAGE_ID	LANGUAGE_ID	Integer	0
DIM_LANGUAGES	LANGUAGE_DESC	LANGUAGE_DESC	String	
DIM_LANGUAGES	UPDATED_ON	UPDATED_ON	Date	
DIM_LANGUAGES	UPDATED_BY	UPDATED_BY	String	
DIM_MATRICES	MATRICE_ID	MATRICE_ID	Integer	0
DIM_MATRICES	MATRICE_NAME	MATRICE_NAME	String	
DIM_MATRICES	MATRICE_DESC	MATRICE_DESC	String	
DIM_MATRICES	MATRICE_COMMENT	MATRICE_COMMENT	String	
DIM_MATRICES	REMOVED	REMOVED	String	
DIM_MATRICES	UPDATED_ON	UPDATED_ON	Date	
DIM_MATRICES	UPDATED_BY	UPDATED_BY	String	
DIM_MXNS_ENTITY	MXNS_ENTITY_ID	MXNS_ENTITY_ID	Integer	0
DIM_MXNS_ENTITY	MXNS_ENTITY_LEGAL_DESC	MXNS_ENTITY_LEGAL_DESC	String	
DIM_MXNS_ENTITY	MXNS_ENTITY_DESC	MXNS_ENTITY_DESC	String	
DIM_MXNS_ENTITY	MXNS_CUST_SERVICE_ID	MXNS_CUST_SERVICE_ID	Integer	0
DIM_MXNS_ENTITY	DEFAULT_DATE_FORMAT	DEFAULT_DATE_FORMAT	String	
DIM_MXNS_ENTITY	DEFAULT_LANGUAGE_ID	DEFAULT_LANGUAGE_ID	Integer	0
DIM_MXNS_ENTITY	IS_ACTIVE	IS_ACTIVE	String	
DIM_MXNS_ENTITY	UPDATED_ON	UPDATED_ON	Date	
DIM_MXNS_ENTITY	UPDATED_BY	UPDATED_BY	String	
DIM_OPTIONS	OPTION_ID	OPTION_ID	Integer	0
DIM_OPTIONS	LANGUAGE_ID	LANGUAGE_ID	Integer	0
DIM_OPTIONS	OPTION_NAME	OPTION_NAME	String	
DIM_OPTIONS	OPTION_DESC	OPTION_DESC	String	
DIM_OPTIONS	OPTION_COMMENT	OPTION_COMMENT	String	
DIM_OPTIONS	UPDATED_ON	UPDATED_ON	Date	
DIM_OPTIONS	UPDATED_BY	UPDATED_BY	String	
DIM_SERVICES_FAMILY	SERVICE_FAMILY_ID	SERVICE_FAMILY_ID	Integer	0
DIM_SERVICES_FAMILY	LANGUAGE_ID	LANGUAGE_ID	Integer	0
DIM_SERVICES_FAMILY	SERVICE_FAMILY_DESC	SERVICE_FAMILY_DESC	String	
DIM_SERVICES_FAMILY	UPDATED_ON	UPDATED_ON	Date	
DIM_SERVICES_FAMILY	UPDATED_BY	UPDATED_BY	String	
DIM_SOURCE_INSTANCES	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
DIM_SOURCE_INSTANCES	SOURCE_INSTANCE_DESC	SOURCE_INSTANCE_DESC	String	
DIM_SOURCE_INSTANCES	UPDATED_ON	UPDATED_ON	Date	
DIM_SOURCE_INSTANCES	UPDATED_BY	UPDATED_BY	String	
DIM_STATUSES	STATUS_ID	STATUS_ID	Integer	0
DIM_STATUSES	LANGUAGE_ID	LANGUAGE_ID	Integer	0
DIM_STATUSES	STATUS_DESC	STATUS_DESC	String	
DIM_STATUSES	SAMPLE_FILTER	SAMPLE_FILTER	String	
DIM_STATUSES	AUDIT_FILTER	AUDIT_FILTER	String	
DIM_STATUSES	CUSTOMER_STATUS_ID	CUSTOMER_STATUS_ID	Integer	0
DIM_STATUSES	UPDATED_ON	UPDATED_ON	Date	
DIM_STATUSES	UPDATED_BY	UPDATED_BY	String	
