TABLE_NAME	COLUMN_EXPRESSION	COLUMN_NAME	DATA_TYPE	FORMAT
MAP_CLIENT_MARKET	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
MAP_CLIENT_MARKET	SOURCE_CLIENT_MARKET_CODE	SOURCE_CLIENT_MARKET_CODE	String	
MAP_CLIENT_MARKET	GDW_CLIENT_MARKET_ID	GDW_CLIENT_MARKET_ID	Integer	0
MAP_CONCL_LEVELS	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
MAP_CONCL_LEVELS	SOURCE_KEY_1	SOURCE_KEY_1	String	
MAP_CONCL_LEVELS	SOURCE_KEY_2	SOURCE_KEY_2	String	
MAP_CONCL_LEVELS	GDW_LEVEL_ID	GDW_LEVEL_ID	Integer	0
MAP_CONCL_LEVELS	UPDATED_ON	UPDATED_ON	Date	
MAP_CONCL_LEVELS	UPDATED_BY	UPDATED_BY	String	
MAP_CUSTOMER_DESC	GDW_CUSTOMER_ID	GDW_CUSTOMER_ID	Integer	0
MAP_CUSTOMER_DESC	GDW_CUSTOMER_DESC	GDW_CUSTOMER_DESC	String	
MAP_CUSTOMER_DESC	GDW_CLIENT_MARKET_ID	GDW_CLIENT_MARKET_ID	Integer	0
MAP_CUSTOMER_DESC	UPDATED_ON	UPDATED_ON	Date	
MAP_CUSTOMER_DESC	UPDATED_BY	UPDATED_BY	String	
MAP_LAB_TYPES	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
MAP_LAB_TYPES	SOURCE_LAB_TYPE_CODE	SOURCE_LAB_TYPE_CODE	String	
MAP_LAB_TYPES	GDW_LAB_TYPE_ID	GDW_LAB_TYPE_ID	Integer	0
MAP_LAB_TYPES	UPDATED_ON	UPDATED_ON	Date	
MAP_LAB_TYPES	UPDATED_BY	UPDATED_BY	String	
MAP_LACTA_ALERTS	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
MAP_LACTA_ALERTS	SOURCE_KEY1	SOURCE_KEY1	String	
MAP_LACTA_ALERTS	SOURCE_KEY2	SOURCE_KEY2	String	
MAP_LACTA_ALERTS	SOURCE_KEY3	SOURCE_KEY3	String	
MAP_LACTA_ALERTS	LACTA_ALERT_CODE	LACTA_ALERT_CODE	String	
MAP_LACTA_ALERTS	UPDATED_ON	UPDATED_ON	Date	
MAP_LACTA_ALERTS	UPDATED_BY	UPDATED_BY	String	
MAP_LACTA_ANALYSIS	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
MAP_LACTA_ANALYSIS	SOURCE_KEY1	SOURCE_KEY1	String	
MAP_LACTA_ANALYSIS	SOURCE_KEY2	SOURCE_KEY2	String	
MAP_LACTA_ANALYSIS	SOURCE_KEY3	SOURCE_KEY3	String	
MAP_LACTA_ANALYSIS	LACTA_ANALYSIS_CODE	LACTA_ANALYSIS_CODE	String	
MAP_LACTA_ANALYSIS	UPDATED_ON	UPDATED_ON	Date	
MAP_LACTA_ANALYSIS	UPDATED_BY	UPDATED_BY	String	
MAP_LACTA_CATEGORIES	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
MAP_LACTA_CATEGORIES	SOURCE_KEY1	SOURCE_KEY1	String	
MAP_LACTA_CATEGORIES	SOURCE_KEY2	SOURCE_KEY2	String	
MAP_LACTA_CATEGORIES	SOURCE_KEY3	SOURCE_KEY3	String	
MAP_LACTA_CATEGORIES	LACTA_CATEGORY_CODE	LACTA_CATEGORY_CODE	String	
MAP_LACTA_CATEGORIES	UPDATED_ON	UPDATED_ON	Date	
MAP_LACTA_CATEGORIES	UPDATED_BY	UPDATED_BY	String	
MAP_LANGUAGES	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
MAP_LANGUAGES	SOURCE_LANGUAGE_CODE	SOURCE_LANGUAGE_CODE	String	
MAP_LANGUAGES	GDW_LANGUAGE_ID	GDW_LANGUAGE_ID	Integer	0
MAP_LANGUAGES	UPDATED_ON	UPDATED_ON	Date	
MAP_LANGUAGES	UPDATED_BY	UPDATED_BY	String	
MAP_MATRICES	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
MAP_MATRICES	SOURCE_MATRICE_CODE	SOURCE_MATRICE_CODE	String	
MAP_MATRICES	GDW_MATRICE_ID	GDW_MATRICE_ID	Integer	0
MAP_MATRICES	UPDATED_ON	UPDATED_ON	Date	
MAP_MATRICES	UPDATED_BY	UPDATED_BY	String	
MAP_MXNS_ENTITY	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
MAP_MXNS_ENTITY	SOURCE_CODE_TYPE	SOURCE_CODE_TYPE	String	
MAP_MXNS_ENTITY	SOURCE_CODE	SOURCE_CODE	String	
MAP_MXNS_ENTITY	GDW_MXNS_ENTITY_ID	GDW_MXNS_ENTITY_ID	Integer	0
MAP_MXNS_ENTITY	UPDATED_ON	UPDATED_ON	Date	
MAP_MXNS_ENTITY	UPDATED_BY	UPDATED_BY	String	
MAP_OPTIONS	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
MAP_OPTIONS	SOURCE_OPTION_CODE	SOURCE_OPTION_CODE	String	
MAP_OPTIONS	SOURCE_OPTION_TYPE	SOURCE_OPTION_TYPE	String	
MAP_OPTIONS	GDW_OPTION_ID	GDW_OPTION_ID	Integer	0
MAP_OPTIONS	UPDATED_ON	UPDATED_ON	Date	
MAP_OPTIONS	UPDATED_BY	UPDATED_BY	String	
MAP_SERVICES_FAMILY	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
MAP_SERVICES_FAMILY	SERVICE_FAMILY_CODE	SERVICE_FAMILY_CODE	String	
MAP_SERVICES_FAMILY	GDW_SERVICE_FAMILY_ID	GDW_SERVICE_FAMILY_ID	Integer	0
MAP_SERVICES_FAMILY	UPDATED_ON	UPDATED_ON	Date	
MAP_SERVICES_FAMILY	UPDATED_BY	UPDATED_BY	String	
MAP_STATUSES	SOURCE_INSTANCE	SOURCE_INSTANCE	String	
MAP_STATUSES	SOURCE_STATUS_CODE	SOURCE_STATUS_CODE	String	
MAP_STATUSES	GDW_STATUS_ID	GDW_STATUS_ID	Integer	0
MAP_STATUSES	UPDATED_ON	UPDATED_ON	Date	
MAP_STATUSES	UPDATED_BY	UPDATED_BY	String	
